country,year_month,protest_count,protest_any,violence_count,violence_any,fatalities,protest_days,violence_any_t1,violence_count_t1,escalation,protest_count_t_1,protest_growth,recent_violence,year,protest_count_dm,protest_growth_dm,recent_violence_dm,protest_count_t_2,protest_acceleration,democracy_index,inflation,gdp_growth,unemployment,inflation_lag1,gdp_growth_lag1,unemployment_lag1,gini
Argentina,2018-01,105,1,9,1,0,27,1.0,22.0,1,,,1,2018,-69.19767441860466,,0.0,,,7.02,34.2772237131003,-2.61739646282038,9.22,,,,41.7
Argentina,2018-02,109,1,22,1,1,23,1.0,15.0,1,105.0,4.0,1,2018,-65.19767441860466,4.329411764705882,0.0,,,7.02,34.2772237131003,-2.61739646282038,9.22,34.2772237131003,-2.61739646282038,9.22,41.7
Argentina,2018-03,216,1,15,1,2,28,1.0,10.0,1,109.0,107.0,1,2018,41.80232558139534,107.32941176470588,0.0,105.0,103.0,7.02,34.2772237131003,-2.61739646282038,9.22,34.2772237131003,-2.61739646282038,9.22,41.7
Argentina,2018-04,237,1,10,1,2,29,1.0,14.0,1,216.0,21.0,1,2018,62.80232558139534,21.32941176470588,0.0,109.0,-86.0,7.02,34.2772237131003,-2.61739646282038,9.22,34.2772237131003,-2.61739646282038,9.22,41.7
Argentina,2018-05,179,1,14,1,0,29,1.0,29.0,1,237.0,-58.0,1,2018,4.802325581395337,-57.67058823529412,0.0,216.0,-79.0,7.02,34.2772237131003,-2.61739646282038,9.22,34.2772237131003,-2.61739646282038,9.22,41.7
Argentina,2018-06,198,1,29,1,2,27,1.0,9.0,1,179.0,19.0,1,2018,23.802325581395337,19.32941176470588,0.0,237.0,77.0,7.02,34.2772237131003,-2.61739646282038,9.22,34.2772237131003,-2.61739646282038,9.22,41.7
Argentina,2018-07,173,1,9,1,0,30,1.0,10.0,1,198.0,-25.0,1,2018,-1.197674418604663,-24.67058823529412,0.0,179.0,-44.0,7.02,34.2772237131003,-2.61739646282038,9.22,34.2772237131003,-2.61739646282038,9.22,41.7
Argentina,2018-08,174,1,10,1,0,28,1.0,16.0,1,173.0,1.0,1,2018,-0.19767441860466306,1.3294117647058823,0.0,198.0,26.0,7.02,34.2772237131003,-2.61739646282038,9.22,34.2772237131003,-2.61739646282038,9.22,41.7
Argentina,2018-09,172,1,16,1,5,24,1.0,18.0,1,174.0,-2.0,1,2018,-2.197674418604663,-1.6705882352941177,0.0,173.0,-3.0,7.02,34.2772237131003,-2.61739646282038,9.22,34.2772237131003,-2.61739646282038,9.22,41.7
Argentina,2018-10,120,1,18,1,1,28,1.0,13.0,1,172.0,-52.0,1,2018,-54.19767441860466,-51.67058823529412,0.0,174.0,-50.0,7.02,34.2772237131003,-2.61739646282038,9.22,34.2772237131003,-2.61739646282038,9.22,41.7
Argentina,2018-11,124,1,13,1,12,25,1.0,13.0,1,120.0,4.0,1,2018,-50.19767441860466,4.329411764705882,0.0,172.0,56.0,7.02,34.2772237131003,-2.61739646282038,9.22,34.2772237131003,-2.61739646282038,9.22,41.7
Argentina,2018-12,123,1,13,1,0,26,1.0,16.0,1,124.0,-1.0,1,2018,-51.19767441860466,-0.6705882352941177,0.0,120.0,-5.0,7.02,34.2772237131003,-2.61739646282038,9.22,34.2772237131003,-2.61739646282038,9.22,41.7
Argentina,2019-01,117,1,16,1,5,28,1.0,16.0,1,123.0,-6.0,1,2019,-57.19767441860466,-5.670588235294118,0.0,124.0,-5.0,7.02,53.5483043492339,-2.00086100285785,9.843,34.2772237131003,-2.61739646282038,9.22,43.3
Argentina,2019-02,124,1,16,1,1,26,1.0,1.0,1,117.0,7.0,1,2019,-50.19767441860466,7.329411764705882,0.0,123.0,13.0,7.02,53.5483043492339,-2.00086100285785,9.843,53.5483043492339,-2.00086100285785,9.843,43.3
Argentina,2019-03,67,1,1,1,0,20,1.0,5.0,1,124.0,-57.0,1,2019,-107.19767441860466,-56.67058823529412,0.0,117.0,-64.0,7.02,53.5483043492339,-2.00086100285785,9.843,53.5483043492339,-2.00086100285785,9.843,43.3
Argentina,2019-04,42,1,5,1,2,19,1.0,16.0,1,67.0,-25.0,1,2019,-132.19767441860466,-24.67058823529412,0.0,124.0,32.0,7.02,53.5483043492339,-2.00086100285785,9.843,53.5483043492339,-2.00086100285785,9.843,43.3
Argentina,2019-05,60,1,16,1,7,20,1.0,13.0,1,42.0,18.0,1,2019,-114.19767441860466,18.32941176470588,0.0,67.0,43.0,7.02,53.5483043492339,-2.00086100285785,9.843,53.5483043492339,-2.00086100285785,9.843,43.3
Argentina,2019-06,49,1,13,1,1,17,1.0,8.0,1,60.0,-11.0,1,2019,-125.19767441860466,-10.670588235294117,0.0,42.0,-29.0,7.02,53.5483043492339,-2.00086100285785,9.843,53.5483043492339,-2.00086100285785,9.843,43.3
Argentina,2019-07,82,1,8,1,1,24,1.0,18.0,1,49.0,33.0,1,2019,-92.19767441860466,33.32941176470588,0.0,60.0,44.0,7.02,53.5483043492339,-2.00086100285785,9.843,53.5483043492339,-2.00086100285785,9.843,43.3
Argentina,2019-08,113,1,18,1,5,22,1.0,7.0,1,82.0,31.0,1,2019,-61.19767441860466,31.32941176470588,0.0,49.0,-2.0,7.02,53.5483043492339,-2.00086100285785,9.843,53.5483043492339,-2.00086100285785,9.843,43.3
Argentina,2019-09,127,1,7,1,0,22,1.0,16.0,1,113.0,14.0,1,2019,-47.19767441860466,14.329411764705883,0.0,82.0,-17.0,7.02,53.5483043492339,-2.00086100285785,9.843,53.5483043492339,-2.00086100285785,9.843,43.3
Argentina,2019-10,70,1,16,1,0,23,1.0,14.0,1,127.0,-57.0,1,2019,-104.19767441860466,-56.67058823529412,0.0,113.0,-71.0,7.02,53.5483043492339,-2.00086100285785,9.843,53.5483043492339,-2.00086100285785,9.843,43.3
Argentina,2019-11,138,1,14,1,1,29,1.0,16.0,1,70.0,68.0,1,2019,-36.19767441860466,68.32941176470588,0.0,127.0,125.0,7.02,53.5483043492339,-2.00086100285785,9.843,53.5483043492339,-2.00086100285785,9.843,43.3
Argentina,2019-12,131,1,16,1,1,30,1.0,12.0,1,138.0,-7.0,1,2019,-43.19767441860466,-6.670588235294118,0.0,70.0,-75.0,7.02,53.5483043492339,-2.00086100285785,9.843,53.5483043492339,-2.00086100285785,9.843,43.3
Argentina,2020-01,155,1,12,1,1,27,1.0,4.0,1,131.0,24.0,1,2020,-19.197674418604663,24.32941176470588,0.0,138.0,31.0,6.95,42.0150947376509,-9.9004848136464,11.461,53.5483043492339,-2.00086100285785,9.843,42.7
Argentina,2020-02,168,1,4,1,1,24,1.0,8.0,1,155.0,13.0,1,2020,-6.197674418604663,13.329411764705883,0.0,131.0,-11.0,6.95,42.0150947376509,-9.9004848136464,11.461,42.0150947376509,-9.9004848136464,11.461,42.7
Argentina,2020-03,119,1,8,1,6,23,1.0,19.0,1,168.0,-49.0,1,2020,-55.19767441860466,-48.67058823529412,0.0,155.0,-62.0,6.95,42.0150947376509,-9.9004848136464,11.461,42.0150947376509,-9.9004848136464,11.461,42.7
Argentina,2020-04,70,1,19,1,3,17,1.0,16.0,1,119.0,-49.0,1,2020,-104.19767441860466,-48.67058823529412,0.0,168.0,0.0,6.95,42.0150947376509,-9.9004848136464,11.461,42.0150947376509,-9.9004848136464,11.461,42.7
Argentina,2020-05,163,1,16,1,1,30,1.0,16.0,1,70.0,93.0,1,2020,-11.197674418604663,93.32941176470588,0.0,119.0,142.0,6.95,42.0150947376509,-9.9004848136464,11.461,42.0150947376509,-9.9004848136464,11.461,42.7
Argentina,2020-06,251,1,16,1,1,29,1.0,17.0,1,163.0,88.0,1,2020,76.80232558139534,88.32941176470588,0.0,70.0,-5.0,6.95,42.0150947376509,-9.9004848136464,11.461,42.0150947376509,-9.9004848136464,11.461,42.7
Argentina,2020-07,187,1,17,1,3,30,1.0,10.0,1,251.0,-64.0,1,2020,12.802325581395337,-63.67058823529412,0.0,163.0,-152.0,6.95,42.0150947376509,-9.9004848136464,11.461,42.0150947376509,-9.9004848136464,11.461,42.7
